friend count,personaname length,lastlogoff,game count,playtime,% achievements gotten
334,8,1546682249,176,556191,8.7
34,4,1546681613,367,198538,9.42
24,3,1546686911,315,369151,17.19
355,23,1546562943,143,208598,6.82
-1,15,1545817543,521,391872,4.34
340,10,1546638018,60,0,14.64
12,7,1542013001,309,543380,5.32
71,11,1546693813,103,150570,3.52
112,20,1546594982,445,220144,5.51
0,6,1543873389,250,9684427,21.57
254,4,1546684888,152,740512,8.91
255,17,1546644121,2374,240244,28.29
-1,5,1546647222,567,0,3.23
21,8,1546629960,226,546257,0.12
97,3,1546590105,231,220854,8.04
152,4,1546683821,284,117391,7.75
93,5,1545987119,595,45331,2.02
339,5,1546667462,127,340667,6.5
123,11,1546565497,642,206228,10.9
16,7,1546135892,321,27290,2.93
71,5,1543362884,21,0,35.76
194,12,1546455073,743,173910,4.42
0,8,1545076270,66,51438,82.88
224,4,1546675740,49,311872,15.45
103,6,1546694120,195,193649,8.86
37,7,1546552680,20,67742,29.55
257,8,1546600869,1537,829384,18.69
40,12,1546701822,62,218837,64.89
94,13,1546457111,402,0,11.48
80,9,1546690049,387,343181,15.34
134,18,1546660950,225,180843,10.5
42,7,1546699229,320,184453,18.62
121,5,1546694083,50,356743,30.3
23,8,1546648108,199,5708,1.49
1,8,1544390880,15,154538,13.29
67,7,1546699658,70,363047,15.87
32,19,1546037561,197,28525,0.95
14,4,1546664298,470,266202,14.36
152,6,1546483892,212,145516,7.84
41,11,1546696349,156,75042,8.83
14,8,1546701490,199,317155,3.98
309,9,1546644839,47,119095,18.73
43,17,1546666365,58,364866,17.13
10,8,1546679109,304,354138,13.22
62,7,1546672386,426,180627,8.15
97,10,1546624037,166,349442,7.38
348,3,1546220639,57,463001,28.73
50,4,1546655001,314,253585,17.97
-1,7,1546692703,39,39586,10.83
254,11,1546664042,364,299465,13.46
36,5,1541258437,219,30224,5.38
350,5,1546627504,8321,1228119,1.16
82,7,1546551001,281,410159,10.63
218,6,1546649885,180,0,21.33
91,6,1546545315,105,166462,9.52
